rank0: similarity : 2.6445870399475098, dataset_idx : 0, path_idx : 142382
rank1: similarity : 2.5215468406677246, dataset_idx : 1, path_idx : 134744
rank2: similarity : 2.3934574127197266, dataset_idx : 1, path_idx : 247010
rank3: similarity : 2.3301029205322266, dataset_idx : 0, path_idx : 107359
rank4: similarity : 2.2348575592041016, dataset_idx : 0, path_idx : 143847
rank5: similarity : 2.161689281463623, dataset_idx : 1, path_idx : 184612
rank6: similarity : 2.1325063705444336, dataset_idx : 2, path_idx : 255345
rank7: similarity : 2.1297686100006104, dataset_idx : 0, path_idx : 241959
rank8: similarity : 2.1286351680755615, dataset_idx : 0, path_idx : 196960
rank9: similarity : 2.126009464263916, dataset_idx : 2, path_idx : 263505
rank10: similarity : 2.125859260559082, dataset_idx : 2, path_idx : 258705
rank11: similarity : 2.124732494354248, dataset_idx : 2, path_idx : 257745
rank12: similarity : 2.1241824626922607, dataset_idx : 2, path_idx : 259185
rank13: similarity : 2.1239731311798096, dataset_idx : 2, path_idx : 257265
rank14: similarity : 2.122558355331421, dataset_idx : 2, path_idx : 256305
rank15: similarity : 2.120636463165283, dataset_idx : 2, path_idx : 262545
rank16: similarity : 2.120636463165283, dataset_idx : 2, path_idx : 262065
rank17: similarity : 2.120636463165283, dataset_idx : 2, path_idx : 261585
rank18: similarity : 2.120636463165283, dataset_idx : 2, path_idx : 261105
rank19: similarity : 2.1193127632141113, dataset_idx : 2, path_idx : 254865
rank20: similarity : 2.1193127632141113, dataset_idx : 2, path_idx : 254385
rank21: similarity : 2.1193127632141113, dataset_idx : 2, path_idx : 253905
rank22: similarity : 2.1193127632141113, dataset_idx : 2, path_idx : 253425
rank23: similarity : 2.1186673641204834, dataset_idx : 2, path_idx : 251985
rank24: similarity : 2.118496894836426, dataset_idx : 2, path_idx : 252945
rank25: similarity : 2.118201732635498, dataset_idx : 2, path_idx : 256785
rank26: similarity : 2.117949962615967, dataset_idx : 2, path_idx : 252465
rank27: similarity : 2.117910623550415, dataset_idx : 2, path_idx : 263025
rank28: similarity : 2.1151962280273438, dataset_idx : 2, path_idx : 255825
rank29: similarity : 2.1147336959838867, dataset_idx : 2, path_idx : 260145
rank30: similarity : 2.1116676330566406, dataset_idx : 0, path_idx : 141903
rank31: similarity : 2.11081862449646, dataset_idx : 2, path_idx : 258225
rank32: similarity : 2.110459327697754, dataset_idx : 2, path_idx : 263985
rank33: similarity : 2.1085081100463867, dataset_idx : 2, path_idx : 260625
rank34: similarity : 2.108186960220337, dataset_idx : 2, path_idx : 251025
rank35: similarity : 2.107027053833008, dataset_idx : 2, path_idx : 251505
rank36: similarity : 2.098801612854004, dataset_idx : 2, path_idx : 279825
rank37: similarity : 2.096306324005127, dataset_idx : 2, path_idx : 259665
rank38: similarity : 2.0949792861938477, dataset_idx : 2, path_idx : 264465
rank39: similarity : 2.0922672748565674, dataset_idx : 2, path_idx : 265425
rank40: similarity : 2.088441848754883, dataset_idx : 2, path_idx : 250065
rank41: similarity : 2.087249279022217, dataset_idx : 2, path_idx : 264945
rank42: similarity : 2.086801528930664, dataset_idx : 2, path_idx : 250545
rank43: similarity : 2.0855703353881836, dataset_idx : 2, path_idx : 279345
rank44: similarity : 2.084083318710327, dataset_idx : 2, path_idx : 276945
rank45: similarity : 2.0831918716430664, dataset_idx : 2, path_idx : 277425
rank46: similarity : 2.0826127529144287, dataset_idx : 2, path_idx : 278385
rank47: similarity : 2.079742431640625, dataset_idx : 2, path_idx : 280305
rank48: similarity : 2.0776097774505615, dataset_idx : 2, path_idx : 278865
rank49: similarity : 2.066568374633789, dataset_idx : 2, path_idx : 280785
