rank0: similarity : 4.6761794090271, dataset_idx : 7875, path_idx : 267714
rank1: similarity : 4.520059585571289, dataset_idx : 44138, path_idx : 219580
rank2: similarity : 4.398742198944092, dataset_idx : 90048, path_idx : 130297
rank3: similarity : 4.398156642913818, dataset_idx : 46523, path_idx : 150510
rank4: similarity : 4.385708808898926, dataset_idx : 93704, path_idx : 49620
rank5: similarity : 4.384682655334473, dataset_idx : 50104, path_idx : 200762
rank6: similarity : 4.378706932067871, dataset_idx : 70013, path_idx : 286259
rank7: similarity : 4.350971221923828, dataset_idx : 43638, path_idx : 160685
rank8: similarity : 4.302847862243652, dataset_idx : 70013, path_idx : 297221
rank9: similarity : 4.2989501953125, dataset_idx : 99469, path_idx : 95315
rank10: similarity : 4.280618667602539, dataset_idx : 9800, path_idx : 223009
rank11: similarity : 4.278829574584961, dataset_idx : 70589, path_idx : 234004
rank12: similarity : 4.265713214874268, dataset_idx : 27078, path_idx : 217778
rank13: similarity : 4.250606536865234, dataset_idx : 80363, path_idx : 245983
rank14: similarity : 4.237298011779785, dataset_idx : 69153, path_idx : 110093
rank15: similarity : 4.197064399719238, dataset_idx : 70790, path_idx : 166761
rank16: similarity : 4.195061206817627, dataset_idx : 88135, path_idx : 45338
rank17: similarity : 4.169192314147949, dataset_idx : 32847, path_idx : 228299
rank18: similarity : 4.149219512939453, dataset_idx : 56672, path_idx : 46200
rank19: similarity : 4.136613845825195, dataset_idx : 32847, path_idx : 170229
rank20: similarity : 4.1338396072387695, dataset_idx : 31026, path_idx : 119344
rank21: similarity : 4.131221771240234, dataset_idx : 59506, path_idx : 146137
rank22: similarity : 4.130560874938965, dataset_idx : 56266, path_idx : 40017
rank23: similarity : 4.12502384185791, dataset_idx : 86406, path_idx : 63667
rank24: similarity : 4.114438056945801, dataset_idx : 16038, path_idx : 103987
rank25: similarity : 4.113541603088379, dataset_idx : 36990, path_idx : 171662
rank26: similarity : 4.110520362854004, dataset_idx : 54785, path_idx : 128934
rank27: similarity : 4.1060919761657715, dataset_idx : 21511, path_idx : 128373
rank28: similarity : 4.103137969970703, dataset_idx : 56266, path_idx : 101545
rank29: similarity : 4.096166610717773, dataset_idx : 33996, path_idx : 83836
rank30: similarity : 4.092965602874756, dataset_idx : 50881, path_idx : 232521
rank31: similarity : 4.091959476470947, dataset_idx : 87528, path_idx : 270007
rank32: similarity : 4.091330051422119, dataset_idx : 65574, path_idx : 51667
rank33: similarity : 4.0897746086120605, dataset_idx : 65033, path_idx : 75642
rank34: similarity : 4.083636283874512, dataset_idx : 63133, path_idx : 163989
rank35: similarity : 4.077628135681152, dataset_idx : 86521, path_idx : 12354
rank36: similarity : 4.069427490234375, dataset_idx : 59746, path_idx : 108278
rank37: similarity : 4.069143772125244, dataset_idx : 9908, path_idx : 202223
rank38: similarity : 4.068635940551758, dataset_idx : 23217, path_idx : 143347
rank39: similarity : 4.065698623657227, dataset_idx : 87528, path_idx : 226456
rank40: similarity : 4.063111782073975, dataset_idx : 79997, path_idx : 205756
rank41: similarity : 4.061855792999268, dataset_idx : 69255, path_idx : 111679
rank42: similarity : 4.060044288635254, dataset_idx : 35652, path_idx : 234954
rank43: similarity : 4.059201240539551, dataset_idx : 85638, path_idx : 50230
rank44: similarity : 4.054362773895264, dataset_idx : 18389, path_idx : 202707
rank45: similarity : 4.053976535797119, dataset_idx : 86167, path_idx : 171512
rank46: similarity : 4.0419135093688965, dataset_idx : 7875, path_idx : 253193
rank47: similarity : 4.040402412414551, dataset_idx : 25305, path_idx : 105485
rank48: similarity : 4.035717010498047, dataset_idx : 43028, path_idx : 96186
rank49: similarity : 4.034787178039551, dataset_idx : 57624, path_idx : 32905
