CONFIG : images : 100000, stage : 3, block : 0, dimension : 3714, top_k :50
rank0: similarity : -0.0, dataset_idx : 99999, path_idx : 3222
rank1: similarity : -0.0, dataset_idx : 99999, path_idx : 3221
rank2: similarity : -0.0, dataset_idx : 99999, path_idx : 3220
rank3: similarity : -0.0, dataset_idx : 99999, path_idx : 3219
rank4: similarity : -0.0, dataset_idx : 99999, path_idx : 3218
rank5: similarity : -0.0, dataset_idx : 99999, path_idx : 3217
rank6: similarity : -0.0, dataset_idx : 99999, path_idx : 3216
rank7: similarity : -0.0, dataset_idx : 99999, path_idx : 3215
rank8: similarity : -0.0, dataset_idx : 99999, path_idx : 3214
rank9: similarity : -0.0, dataset_idx : 99999, path_idx : 3213
rank10: similarity : -0.0, dataset_idx : 99999, path_idx : 3212
rank11: similarity : -0.0, dataset_idx : 99999, path_idx : 3211
rank12: similarity : -0.0, dataset_idx : 99999, path_idx : 3210
rank13: similarity : -0.0, dataset_idx : 99999, path_idx : 3209
rank14: similarity : -0.0, dataset_idx : 99999, path_idx : 3208
rank15: similarity : -0.0, dataset_idx : 99999, path_idx : 3207
rank16: similarity : -0.0, dataset_idx : 99999, path_idx : 3206
rank17: similarity : -0.0, dataset_idx : 99999, path_idx : 3205
rank18: similarity : -0.0, dataset_idx : 99999, path_idx : 3204
rank19: similarity : -0.0, dataset_idx : 99999, path_idx : 3203
rank20: similarity : -0.0, dataset_idx : 99999, path_idx : 3202
rank21: similarity : -0.0, dataset_idx : 99999, path_idx : 3201
rank22: similarity : -0.0, dataset_idx : 99999, path_idx : 3200
rank23: similarity : -0.0, dataset_idx : 99999, path_idx : 3199
rank24: similarity : -0.0, dataset_idx : 99999, path_idx : 3198
rank25: similarity : -0.0, dataset_idx : 99999, path_idx : 3197
rank26: similarity : -0.0, dataset_idx : 99999, path_idx : 3196
rank27: similarity : -0.0, dataset_idx : 99999, path_idx : 3195
rank28: similarity : -0.0, dataset_idx : 99999, path_idx : 3194
rank29: similarity : -0.0, dataset_idx : 99999, path_idx : 3193
rank30: similarity : -0.0, dataset_idx : 99999, path_idx : 3192
rank31: similarity : -0.0, dataset_idx : 99999, path_idx : 3191
rank32: similarity : -0.0, dataset_idx : 99999, path_idx : 3190
rank33: similarity : -0.0, dataset_idx : 99999, path_idx : 3189
rank34: similarity : -0.0, dataset_idx : 99999, path_idx : 3188
rank35: similarity : -0.0, dataset_idx : 99999, path_idx : 3187
rank36: similarity : -0.0, dataset_idx : 99999, path_idx : 3186
rank37: similarity : -0.0, dataset_idx : 99999, path_idx : 3166
rank38: similarity : -0.0, dataset_idx : 99999, path_idx : 3165
rank39: similarity : -0.0, dataset_idx : 99999, path_idx : 3164
rank40: similarity : -0.0, dataset_idx : 99999, path_idx : 3163
rank41: similarity : -0.0, dataset_idx : 99999, path_idx : 3162
rank42: similarity : -0.0, dataset_idx : 99999, path_idx : 3161
rank43: similarity : -0.0, dataset_idx : 99999, path_idx : 3160
rank44: similarity : -0.0, dataset_idx : 99999, path_idx : 3159
rank45: similarity : -0.0, dataset_idx : 99999, path_idx : 3158
rank46: similarity : -0.0, dataset_idx : 99999, path_idx : 3157
rank47: similarity : -0.0, dataset_idx : 99999, path_idx : 3156
rank48: similarity : -0.0, dataset_idx : 99999, path_idx : 3155
rank49: similarity : -0.0, dataset_idx : 99999, path_idx : 0
