CONFIG : images : 1, stage : 0, block : 1, dimension : 358, top_k :50
rank0: similarity : 4.174507141113281, dataset_idx : 0, path_idx : 97350
rank1: similarity : 4.090236186981201, dataset_idx : 0, path_idx : 194661
rank2: similarity : 4.075887680053711, dataset_idx : 0, path_idx : 231542
rank3: similarity : 3.9748973846435547, dataset_idx : 0, path_idx : 97349
rank4: similarity : 3.944719076156616, dataset_idx : 0, path_idx : 152268
rank5: similarity : 3.8928558826446533, dataset_idx : 0, path_idx : 221135
rank6: similarity : 3.883629560470581, dataset_idx : 0, path_idx : 230592
rank7: similarity : 3.882084608078003, dataset_idx : 0, path_idx : 96393
rank8: similarity : 3.870157241821289, dataset_idx : 0, path_idx : 101609
rank9: similarity : 3.8530986309051514, dataset_idx : 0, path_idx : 96868
rank10: similarity : 3.8275997638702393, dataset_idx : 0, path_idx : 106379
rank11: similarity : 3.8054308891296387, dataset_idx : 0, path_idx : 97829
rank12: similarity : 3.798353910446167, dataset_idx : 0, path_idx : 96867
rank13: similarity : 3.7922112941741943, dataset_idx : 0, path_idx : 190319
rank14: similarity : 3.7845511436462402, dataset_idx : 0, path_idx : 107338
rank15: similarity : 3.780457019805908, dataset_idx : 0, path_idx : 96392
rank16: similarity : 3.7794461250305176, dataset_idx : 0, path_idx : 231053
rank17: similarity : 3.7586140632629395, dataset_idx : 0, path_idx : 102101
rank18: similarity : 3.7370471954345703, dataset_idx : 0, path_idx : 230629
rank19: similarity : 3.7163586616516113, dataset_idx : 0, path_idx : 106859
rank20: similarity : 3.7150473594665527, dataset_idx : 0, path_idx : 195035
rank21: similarity : 3.713603973388672, dataset_idx : 0, path_idx : 103502
rank22: similarity : 3.708902359008789, dataset_idx : 0, path_idx : 149685
rank23: similarity : 3.704460859298706, dataset_idx : 0, path_idx : 194091
rank24: similarity : 3.7043871879577637, dataset_idx : 0, path_idx : 230092
rank25: similarity : 3.6947367191314697, dataset_idx : 0, path_idx : 226777
rank26: similarity : 3.692885398864746, dataset_idx : 0, path_idx : 194646
rank27: similarity : 3.6894686222076416, dataset_idx : 0, path_idx : 101622
rank28: similarity : 3.674959421157837, dataset_idx : 0, path_idx : 194659
rank29: similarity : 3.6734397411346436, dataset_idx : 0, path_idx : 98295
rank30: similarity : 3.667607069015503, dataset_idx : 0, path_idx : 190345
rank31: similarity : 3.6657185554504395, dataset_idx : 0, path_idx : 228236
rank32: similarity : 3.660017967224121, dataset_idx : 0, path_idx : 189839
rank33: similarity : 3.6585052013397217, dataset_idx : 0, path_idx : 146187
rank34: similarity : 3.657315254211426, dataset_idx : 0, path_idx : 116710
rank35: similarity : 3.651244640350342, dataset_idx : 0, path_idx : 195542
rank36: similarity : 3.6511032581329346, dataset_idx : 0, path_idx : 104461
rank37: similarity : 3.6502280235290527, dataset_idx : 0, path_idx : 190819
rank38: similarity : 3.649651527404785, dataset_idx : 0, path_idx : 186525
rank39: similarity : 3.6469240188598633, dataset_idx : 0, path_idx : 98292
rank40: similarity : 3.645623207092285, dataset_idx : 0, path_idx : 228181
rank41: similarity : 3.642979383468628, dataset_idx : 0, path_idx : 140035
rank42: similarity : 3.6427266597747803, dataset_idx : 0, path_idx : 194658
rank43: similarity : 3.639829635620117, dataset_idx : 0, path_idx : 107874
rank44: similarity : 3.635863780975342, dataset_idx : 0, path_idx : 229613
rank45: similarity : 3.627988815307617, dataset_idx : 0, path_idx : 188446
rank46: similarity : 3.6258530616760254, dataset_idx : 0, path_idx : 190338
rank47: similarity : 3.615144968032837, dataset_idx : 0, path_idx : 117677
rank48: similarity : 3.6144793033599854, dataset_idx : 0, path_idx : 189865
rank49: similarity : 3.6084210872650146, dataset_idx : 0, path_idx : 192165
