rank0: similarity : 3.924391746520996, dataset_idx : 259, path_idx : 25650
rank1: similarity : 3.829986333847046, dataset_idx : 1059, path_idx : 122139
rank2: similarity : 3.8091001510620117, dataset_idx : 2500, path_idx : 86592
rank3: similarity : 3.7370033264160156, dataset_idx : 420, path_idx : 236917
rank4: similarity : 3.728290557861328, dataset_idx : 1923, path_idx : 131816
rank5: similarity : 3.7196125984191895, dataset_idx : 1192, path_idx : 193158
rank6: similarity : 3.6977388858795166, dataset_idx : 157, path_idx : 191875
rank7: similarity : 3.6966729164123535, dataset_idx : 1923, path_idx : 187918
rank8: similarity : 3.6957831382751465, dataset_idx : 1534, path_idx : 229131
rank9: similarity : 3.6392323970794678, dataset_idx : 1253, path_idx : 122681
rank10: similarity : 3.628725290298462, dataset_idx : 1589, path_idx : 164771
rank11: similarity : 3.5772697925567627, dataset_idx : 1336, path_idx : 161949
rank12: similarity : 3.5757927894592285, dataset_idx : 2500, path_idx : 74109
rank13: similarity : 3.5521082878112793, dataset_idx : 711, path_idx : 106158
rank14: similarity : 3.5515222549438477, dataset_idx : 1754, path_idx : 254086
rank15: similarity : 3.5225272178649902, dataset_idx : 770, path_idx : 32407
rank16: similarity : 3.5015664100646973, dataset_idx : 303, path_idx : 159009
rank17: similarity : 3.500051259994507, dataset_idx : 420, path_idx : 226789
rank18: similarity : 3.484787702560425, dataset_idx : 2200, path_idx : 81420
rank19: similarity : 3.4771015644073486, dataset_idx : 2269, path_idx : 119715
rank20: similarity : 3.4761574268341064, dataset_idx : 1890, path_idx : 167845
rank21: similarity : 3.46635365486145, dataset_idx : 1731, path_idx : 76469
rank22: similarity : 3.4620985984802246, dataset_idx : 1923, path_idx : 212420
rank23: similarity : 3.4517979621887207, dataset_idx : 2500, path_idx : 132128
rank24: similarity : 3.4513044357299805, dataset_idx : 1754, path_idx : 116316
rank25: similarity : 3.4421586990356445, dataset_idx : 1374, path_idx : 65557
rank26: similarity : 3.441789150238037, dataset_idx : 1374, path_idx : 71283
rank27: similarity : 3.4394752979278564, dataset_idx : 2706, path_idx : 198053
rank28: similarity : 3.4361982345581055, dataset_idx : 2991, path_idx : 242100
rank29: similarity : 3.4339702129364014, dataset_idx : 420, path_idx : 93850
rank30: similarity : 3.431504249572754, dataset_idx : 259, path_idx : 26728
rank31: similarity : 3.430682897567749, dataset_idx : 2113, path_idx : 38104
rank32: similarity : 3.418123245239258, dataset_idx : 1714, path_idx : 114539
rank33: similarity : 3.407580614089966, dataset_idx : 2521, path_idx : 47276
rank34: similarity : 3.4062538146972656, dataset_idx : 897, path_idx : 158755
rank35: similarity : 3.405630588531494, dataset_idx : 2390, path_idx : 149015
rank36: similarity : 3.4033803939819336, dataset_idx : 1036, path_idx : 132723
rank37: similarity : 3.399853229522705, dataset_idx : 616, path_idx : 61265
rank38: similarity : 3.3933165073394775, dataset_idx : 1534, path_idx : 135545
rank39: similarity : 3.3868727684020996, dataset_idx : 743, path_idx : 164357
rank40: similarity : 3.3735949993133545, dataset_idx : 1430, path_idx : 201361
rank41: similarity : 3.372044086456299, dataset_idx : 2413, path_idx : 128034
rank42: similarity : 3.3526453971862793, dataset_idx : 2500, path_idx : 82713
rank43: similarity : 3.3511147499084473, dataset_idx : 2521, path_idx : 39979
rank44: similarity : 3.3509321212768555, dataset_idx : 936, path_idx : 105696
rank45: similarity : 3.3472447395324707, dataset_idx : 1425, path_idx : 104819
rank46: similarity : 3.34576416015625, dataset_idx : 1534, path_idx : 264321
rank47: similarity : 3.3430871963500977, dataset_idx : 256, path_idx : 265973
rank48: similarity : 3.341928482055664, dataset_idx : 181, path_idx : 162442
rank49: similarity : 3.334244728088379, dataset_idx : 13, path_idx : 1441
