number of the images used for analysis: 3000
CONFIG : images : 3000, stage : 3, block : 0, dimension : 55, top_k :50
rank0: similarity : 22.450971603393555, dataset_idx : 1934, path_idx : 2967
rank1: similarity : 22.277128219604492, dataset_idx : 464, path_idx : 2139
rank2: similarity : 22.24512481689453, dataset_idx : 1334, path_idx : 1445
rank3: similarity : 22.179054260253906, dataset_idx : 2961, path_idx : 2372
rank4: similarity : 22.172115325927734, dataset_idx : 2328, path_idx : 2061
rank5: similarity : 22.15323257446289, dataset_idx : 790, path_idx : 2065
rank6: similarity : 22.134174346923828, dataset_idx : 1450, path_idx : 3874
rank7: similarity : 22.126399993896484, dataset_idx : 1487, path_idx : 3260
rank8: similarity : 22.12249755859375, dataset_idx : 647, path_idx : 1473
rank9: similarity : 22.122177124023438, dataset_idx : 1375, path_idx : 1756
rank10: similarity : 22.104019165039062, dataset_idx : 933, path_idx : 3265
rank11: similarity : 22.102087020874023, dataset_idx : 164, path_idx : 4480
rank12: similarity : 22.08123779296875, dataset_idx : 2498, path_idx : 1464
rank13: similarity : 22.08033561706543, dataset_idx : 2282, path_idx : 2076
rank14: similarity : 22.079914093017578, dataset_idx : 1369, path_idx : 3570
rank15: similarity : 22.071691513061523, dataset_idx : 1815, path_idx : 2971
rank16: similarity : 22.071229934692383, dataset_idx : 378, path_idx : 3454
rank17: similarity : 22.068201065063477, dataset_idx : 2670, path_idx : 2660
rank18: similarity : 22.066970825195312, dataset_idx : 178, path_idx : 2969
rank19: similarity : 22.064823150634766, dataset_idx : 1459, path_idx : 2960
rank20: similarity : 22.06444549560547, dataset_idx : 2147, path_idx : 3814
rank21: similarity : 22.054893493652344, dataset_idx : 1242, path_idx : 2983
rank22: similarity : 22.052282333374023, dataset_idx : 2873, path_idx : 2070
rank23: similarity : 22.051124572753906, dataset_idx : 971, path_idx : 1765
rank24: similarity : 22.046138763427734, dataset_idx : 261, path_idx : 3571
rank25: similarity : 22.044841766357422, dataset_idx : 1684, path_idx : 2080
rank26: similarity : 22.040061950683594, dataset_idx : 1295, path_idx : 809
rank27: similarity : 22.02960205078125, dataset_idx : 1368, path_idx : 3280
rank28: similarity : 22.029342651367188, dataset_idx : 1583, path_idx : 2382
rank29: similarity : 22.028106689453125, dataset_idx : 910, path_idx : 1700
rank30: similarity : 22.026540756225586, dataset_idx : 872, path_idx : 1155
rank31: similarity : 22.02568817138672, dataset_idx : 2381, path_idx : 1469
rank32: similarity : 22.02097511291504, dataset_idx : 790, path_idx : 2074
rank33: similarity : 22.02063751220703, dataset_idx : 2971, path_idx : 1785
rank34: similarity : 22.019149780273438, dataset_idx : 2395, path_idx : 1784
rank35: similarity : 22.018617630004883, dataset_idx : 703, path_idx : 1455
rank36: similarity : 22.018041610717773, dataset_idx : 673, path_idx : 2380
rank37: similarity : 22.01486587524414, dataset_idx : 2675, path_idx : 2669
rank38: similarity : 22.011112213134766, dataset_idx : 2380, path_idx : 3260
rank39: similarity : 22.00911521911621, dataset_idx : 1017, path_idx : 1170
rank40: similarity : 22.008525848388672, dataset_idx : 1994, path_idx : 2965
rank41: similarity : 22.00621795654297, dataset_idx : 2027, path_idx : 2073
rank42: similarity : 22.005435943603516, dataset_idx : 585, path_idx : 3027
rank43: similarity : 22.002079010009766, dataset_idx : 2757, path_idx : 3260
rank44: similarity : 21.997596740722656, dataset_idx : 2115, path_idx : 2600
rank45: similarity : 21.99721336364746, dataset_idx : 697, path_idx : 1780
rank46: similarity : 21.995813369750977, dataset_idx : 2298, path_idx : 1775
rank47: similarity : 21.995708465576172, dataset_idx : 213, path_idx : 1770
rank48: similarity : 21.9859561920166, dataset_idx : 33, path_idx : 2075
rank49: similarity : 21.984840393066406, dataset_idx : 1783, path_idx : 2370
