input text : い
stage 0, block 0 memories : [205, 12, 110, 425, 18, 117, 244, 165, 322, 45, 130, 345, 172, 466, 207, 189, 27, 152, 81, 422, 16, 453, 474, 39, 131, 464, 441, 376, 53, 0]
stage 0, block 1 memories : [152, 318, 262, 502, 497, 275, 117, 51, 67, 341, 367, 6, 479, 13, 437, 436, 291, 223, 323, 129, 30, 45, 299, 124, 449, 465, 165, 390, 485, 141]
stage 1, block 0 memories : [436, 788, 944, 762, 772, 771, 344, 254, 567, 151, 584, 481, 337, 177, 865, 996, 855, 329, 602, 730, 99, 161, 308, 985, 828, 446, 577, 941, 830, 854]
stage 1, block 1 memories : [307, 779, 696, 159, 115, 472, 571, 357, 88, 161, 448, 902, 829, 662, 407, 168, 989, 348, 763, 424, 816, 898, 243, 401, 22, 261, 690, 518, 311, 645]
stage 2, block 0 memories : [91, 1296, 1959, 667, 805, 396, 902, 1735, 1540, 1381, 552, 279, 151, 1263, 1755, 1215, 19, 589, 1525, 1956, 1133, 1368, 221, 1917, 73, 1734, 1029, 1542, 472, 657]
stage 2, block 1 memories : [227, 28, 878, 1820, 180, 1370, 1468, 1561, 1091, 1715, 1200, 1306, 1962, 1156, 1602, 234, 1568, 2037, 702, 1408, 881, 9, 552, 1914, 1235, 1714, 964, 264, 135, 1534]
stage 2, block 2 memories : [1969, 28, 1614, 1208, 1865, 1643, 360, 1591, 1470, 244, 840, 74, 836, 1665, 1072, 1775, 126, 1287, 1949, 465, 1325, 1108, 1494, 389, 561, 779, 867, 2022, 1075, 469]
stage 2, block 3 memories : [737, 704, 1266, 1544, 1416, 848, 1017, 1966, 1810, 316, 1030, 1297, 241, 1444, 476, 697, 1355, 1430, 707, 1676, 1669, 21, 1904, 1051, 1351, 130, 1359, 105, 1029, 6]
stage 2, block 4 memories : [1902, 1079, 1613, 393, 804, 1131, 876, 1414, 124, 1686, 1895, 1317, 2014, 315, 115, 1707, 1657, 245, 1724, 1987, 1927, 932, 1421, 730, 706, 853, 1350, 181, 244, 1888]
stage 2, block 5 memories : [1913, 1044, 1139, 2041, 654, 146, 108, 1915, 1156, 1576, 902, 1264, 156, 779, 1745, 1742, 1427, 1853, 728, 849, 339, 1904, 1076, 1984, 1824, 1257, 163, 1444, 48, 1839]
stage 2, block 6 memories : [1700, 698, 285, 236, 175, 910, 1739, 652, 1679, 1769, 18, 1145, 425, 1614, 871, 541, 275, 1136, 105, 1907, 398, 1381, 976, 280, 2002, 894, 585, 1592, 1552, 1336]
stage 2, block 7 memories : [399, 584, 1133, 78, 1805, 113, 2043, 1754, 1291, 2044, 1845, 425, 978, 1741, 1200, 1512, 7, 541, 514, 1916, 1899, 563, 415, 1619, 1286, 1589, 914, 564, 854, 1089]
stage 2, block 8 memories : [1078, 1752, 401, 648, 1001, 934, 1, 228, 1600, 74, 993, 1223, 1691, 793, 1781, 671, 1427, 198, 1871, 1182, 1283, 1865, 715, 76, 559, 655, 466, 1063, 200, 1773]
stage 2, block 9 memories : [626, 684, 846, 1444, 1202, 1688, 817, 1664, 329, 1120, 301, 714, 1854, 162, 976, 57, 739, 378, 864, 12, 176, 1641, 1723, 857, 1421, 1327, 52, 1310, 947, 1271]
stage 2, block 10 memories : [900, 532, 1584, 688, 1107, 815, 559, 425, 1046, 530, 1174, 1895, 1589, 10, 89, 1480, 1609, 1568, 849, 1385, 522, 1342, 512, 1666, 627, 784, 940, 1228, 1153, 133]
stage 2, block 11 memories : [1233, 1601, 1002, 318, 1916, 1190, 668, 292, 1429, 134, 1148, 458, 1600, 730, 102, 589, 31, 332, 866, 1838, 1801, 935, 1635, 736, 1756, 1060, 1160, 433, 1310, 1130]
stage 2, block 12 memories : [684, 1627, 1643, 740, 651, 588, 1264, 1489, 1769, 2011, 1804, 638, 141, 1560, 252, 933, 624, 1438, 1756, 426, 1341, 532, 636, 1836, 555, 1575, 1358, 557, 1101, 317]
stage 2, block 13 memories : [1396, 142, 1483, 1934, 199, 1496, 1813, 221, 1811, 1618, 22, 1648, 690, 2010, 1013, 946, 1875, 1280, 453, 295, 2005, 364, 138, 136, 213, 1335, 1407, 90, 1770, 484]
stage 3, block 0 memories : [2059, 454, 3100, 1797, 343, 172, 3815, 2449, 226, 687, 2488, 2205, 1392, 685, 123, 3064, 3282, 640, 2591, 1912, 73, 2463, 274, 1939, 1815, 3328, 505, 2622, 3621, 3743]
stage 3, block 1 memories : [3501, 3253, 1412, 188, 3070, 3671, 880, 2146, 1555, 2922, 1497, 517, 2732, 1890, 2199, 3979, 1875, 2550, 433, 2420, 3014, 2352, 3383, 3623, 3573, 306, 3375, 3870, 1802, 2389]
